year_region,CF_PV,perc_PV,CF_WT,perc_WT
AT11-1986,0.139791011,0.69,0.270618037,0.70
AT11-1987,0.128620267,0.60,0.303493037,0.79
AT11-1988,0.138309539,0.68,0.320354508,0.84
AT11-1989,0.140703114,0.70,0.268555936,0.69
AT11-1990,0.14313174,0.72,0.277191553,0.72
AT11-1991,0.139264926,0.69,0.255153767,0.65
AT11-1992,0.147126211,0.74,0.296003757,0.77
AT11-1993,0.135446476,0.65,0.293147374,0.77
AT11-1994,0.138179761,0.68,0.282617808,0.73
AT11-1995,0.131321015,0.62,0.300148174,0.78
AT11-1996,0.127373402,0.58,0.266022883,0.69
AT11-1997,0.143086196,0.72,0.287369064,0.75
AT11-1998,0.137685572,0.68,0.30542089,0.80
AT11-1999,0.133950715,0.65,0.284381963,0.74
AT11-2000,0.144851862,0.73,0.301741462,0.79
AT11-2001,0.13899158,0.69,0.30237089,0.79
AT11-2002,0.136597398,0.67,0.285450571,0.74
AT11-2003,0.150965029,0.77,0.259400342,0.67
AT11-2004,0.129135031,0.60,0.288577983,0.75
AT11-2005,0.135442662,0.65,0.280485731,0.73
AT11-2006,0.136063945,0.66,0.260464954,0.67
AT11-2007,0.142969862,0.72,0.29005879,0.75
AT11-2008,0.136532468,0.67,0.287288479,0.75
AT11-2009,0.138076002,0.68,0.269826027,0.70
AT11-2010,0.128930243,0.60,0.281281849,0.73
AT11-2011,0.148845695,0.75,0.257741096,0.66
AT11-2012,0.146332352,0.74,0.291764686,0.76
AT11-2013,0.126874929,0.57,0.27875879,0.72
AT11-2014,0.132674451,0.64,0.260817009,0.67
AT11-2015,0.141281579,0.70,0.275598059,0.71
AT12-1986,0.133678419,0.64,0.261960959,0.67
AT12-1987,0.121220946,0.46,0.29642032,0.77
AT12-1988,0.127526757,0.58,0.3146875,0.82
AT12-1989,0.130965877,0.62,0.261095548,0.67
AT12-1990,0.132609003,0.63,0.273315868,0.71
AT12-1991,0.128557756,0.59,0.24786153,0.63
AT12-1992,0.135924607,0.66,0.289430214,0.75
AT12-1993,0.125542257,0.55,0.289955708,0.75
AT12-1994,0.129418145,0.60,0.280638356,0.73
AT12-1995,0.120969567,0.46,0.297785046,0.78
AT12-1996,0.117838197,0.37,0.250019923,0.64
AT12-1997,0.130722734,0.62,0.271827055,0.70
AT12-1998,0.122940542,0.50,0.303706507,0.79
AT12-1999,0.125473824,0.55,0.275676484,0.71
AT12-2000,0.131312862,0.62,0.288713229,0.75
AT12-2001,0.122791886,0.50,0.280856393,0.73
AT12-2002,0.126978248,0.57,0.279438242,0.72
AT12-2003,0.140085852,0.70,0.247984475,0.63
AT12-2004,0.124455895,0.53,0.279571038,0.73
AT12-2005,0.126209115,0.56,0.269028311,0.69
AT12-2006,0.129158725,0.60,0.250426256,0.64
AT12-2007,0.132607355,0.63,0.284087329,0.74
AT12-2008,0.12409475,0.52,0.276111111,0.71
AT12-2009,0.125083426,0.54,0.256299772,0.66
AT12-2010,0.120513957,0.45,0.264174886,0.68
AT12-2011,0.137602547,0.68,0.2499879,0.64
AT12-2012,0.131618621,0.63,0.270638434,0.70
AT12-2013,0.116805333,0.34,0.262458219,0.68
AT12-2014,0.123893156,0.52,0.249267694,0.63
AT12-2015,0.1296792,0.61,0.263858219,0.68
AT13-1986,0.138236308,0.68,0.214308219,0.47
AT13-1987,0.125823676,0.56,0.244646233,0.62
AT13-1988,0.133615685,0.64,0.258699454,0.67
AT13-1989,0.135695444,0.66,0.212632877,0.47
AT13-1990,0.136759999,0.67,0.219639269,0.50
AT13-1991,0.133534283,0.64,0.196072146,0.38
AT13-1992,0.143744282,0.72,0.238041553,0.59
AT13-1993,0.130895114,0.62,0.234130708,0.57
AT13-1994,0.134890977,0.65,0.227763699,0.54
AT13-1995,0.126154425,0.56,0.245186644,0.62
AT13-1996,0.121629549,0.47,0.202896061,0.41
AT13-1997,0.137721978,0.68,0.228475,0.54
AT13-1998,0.129193228,0.60,0.246959932,0.63
AT13-1999,0.130200332,0.61,0.225575799,0.53
AT13-2000,0.136757335,0.67,0.241088684,0.60
AT13-2001,0.131240127,0.62,0.233709703,0.57
AT13-2002,0.133383074,0.64,0.229758219,0.55
AT13-2003,0.145073371,0.73,0.200981393,0.40
AT13-2004,0.127791379,0.58,0.230450364,0.55
AT13-2005,0.133154905,0.64,0.223260388,0.52
AT13-2006,0.136293977,0.66,0.204145205,0.42
AT13-2007,0.139315905,0.69,0.2312379,0.56
AT13-2008,0.130904358,0.62,0.229650501,0.55
AT13-2009,0.132388529,0.63,0.212413242,0.46
AT13-2010,0.127688049,0.58,0.220371918,0.50
AT13-2011,0.143819024,0.72,0.200456279,0.40
AT13-2012,0.138914727,0.69,0.227014686,0.54
AT13-2013,0.124511097,0.53,0.220847032,0.51
AT13-2014,0.130295029,0.61,0.208516096,0.44
AT13-2015,0.136722838,0.67,0.217585845,0.49
AT21-1986,0.139670905,0.69,0.220484703,0.51
AT21-1987,0.134115769,0.65,0.2487371,0.63
AT21-1988,0.137557633,0.68,0.27024408,0.70
AT21-1989,0.144444231,0.73,0.230918037,0.56
AT21-1990,0.143152727,0.72,0.225864041,0.53
AT21-1991,0.138311876,0.68,0.214601941,0.48
AT21-1992,0.142518324,0.71,0.244975751,0.62
AT21-1993,0.137203061,0.67,0.25305468,0.65
AT21-1994,0.138068909,0.68,0.237189155,0.59
AT21-1995,0.134901257,0.65,0.257897146,0.66
AT21-1996,0.128150681,0.59,0.211923156,0.46
AT21-1997,0.146482429,0.74,0.241552055,0.60
AT21-1998,0.142512273,0.71,0.253759132,0.65
AT21-1999,0.133196977,0.64,0.232985616,0.57
AT21-2000,0.143736047,0.72,0.24482821,0.62
AT21-2001,0.143903055,0.72,0.24742774,0.63
AT21-2002,0.138524215,0.68,0.232327968,0.56
AT21-2003,0.151185009,0.77,0.21557637,0.48
AT21-2004,0.135265535,0.65,0.237711862,0.59
AT21-2005,0.138552059,0.68,0.230736187,0.55
AT21-2006,0.139660602,0.69,0.210175799,0.45
AT21-2007,0.146299811,0.74,0.244105251,0.61
AT21-2008,0.132438371,0.63,0.224662568,0.52
AT21-2009,0.13846612,0.68,0.230639498,0.55
AT21-2010,0.130931416,0.62,0.22682911,0.54
AT21-2011,0.151664669,0.77,0.210254909,0.45
AT21-2012,0.143172752,0.72,0.240787454,0.60
AT21-2013,0.125904523,0.56,0.217083333,0.49
AT21-2014,0.128245438,0.59,0.197235731,0.39
AT21-2015,0.146292287,0.74,0.221834703,0.51
AT22-1986,0.136002424,0.66,0.220484703,0.51
AT22-1987,0.126874346,0.57,0.2487371,0.63
AT22-1988,0.131360242,0.62,0.27024408,0.70
AT22-1989,0.136287075,0.66,0.230918037,0.56
AT22-1990,0.136973772,0.67,0.225864041,0.53
AT22-1991,0.131032546,0.62,0.214601941,0.48
AT22-1992,0.139763253,0.69,0.244975751,0.62
AT22-1993,0.13072672,0.62,0.25305468,0.65
AT22-1994,0.13177707,0.63,0.237189155,0.59
AT22-1995,0.126019809,0.56,0.257897146,0.66
AT22-1996,0.12199321,0.48,0.211923156,0.46
AT22-1997,0.138384203,0.68,0.241552055,0.60
AT22-1998,0.13227263,0.63,0.253759132,0.65
AT22-1999,0.127498765,0.58,0.232985616,0.57
AT22-2000,0.136322884,0.66,0.24482821,0.62
AT22-2001,0.135261516,0.65,0.24742774,0.63
AT22-2002,0.131922702,0.63,0.232327968,0.56
AT22-2003,0.144108817,0.72,0.21557637,0.48
AT22-2004,0.127778618,0.58,0.237711862,0.59
AT22-2005,0.130513301,0.61,0.230736187,0.55
AT22-2006,0.132820981,0.64,0.210175799,0.45
AT22-2007,0.135683365,0.66,0.244105251,0.61
AT22-2008,0.128030482,0.59,0.224662568,0.52
AT22-2009,0.13055289,0.61,0.230639498,0.55
AT22-2010,0.123916985,0.52,0.22682911,0.54
AT22-2011,0.144849201,0.73,0.210254909,0.45
AT22-2012,0.137828229,0.68,0.240787454,0.60
AT22-2013,0.120690809,0.45,0.217083333,0.49
AT22-2014,0.123364491,0.51,0.197235731,0.39
AT22-2015,0.136102937,0.66,0.221834703,0.51
AT31-1986,0.12900975,0.60,0.220500342,0.51
AT31-1987,0.117380049,0.36,0.222851941,0.52
AT31-1988,0.123344274,0.51,0.252472678,0.64
AT31-1989,0.125464277,0.55,0.206252626,0.43
AT31-1990,0.132018326,0.63,0.217539041,0.49
AT31-1991,0.12690975,0.57,0.196649543,0.38
AT31-1992,0.128717285,0.60,0.229440801,0.55
AT31-1993,0.123220809,0.51,0.248521575,0.63
AT31-1994,0.124846394,0.54,0.243075457,0.61
AT31-1995,0.114141944,0.27,0.244599543,0.62
AT31-1996,0.117180362,0.35,0.182802482,0.31
AT31-1997,0.128157893,0.59,0.214386187,0.47
AT31-1998,0.117861169,0.37,0.24610137,0.62
AT31-1999,0.121070118,0.46,0.215302626,0.48
AT31-2000,0.127062112,0.57,0.218507514,0.50
AT31-2001,0.118353035,0.39,0.209099886,0.45
AT31-2002,0.124783362,0.54,0.229435845,0.55
AT31-2003,0.13840801,0.68,0.195139041,0.38
AT31-2004,0.122314317,0.49,0.214270606,0.47
AT31-2005,0.123895264,0.52,0.199055479,0.40
AT31-2006,0.127777561,0.58,0.1987121,0.39
AT31-2007,0.131125195,0.62,0.249785274,0.64
AT31-2008,0.123252575,0.51,0.203719148,0.42
AT31-2009,0.123074143,0.50,0.200959589,0.40
AT31-2010,0.120099553,0.44,0.198390525,0.39
AT31-2011,0.136074713,0.66,0.197411872,0.39
AT31-2012,0.127171429,0.58,0.198516963,0.39
AT31-2013,0.113681829,0.26,0.176424886,0.27
AT31-2014,0.122968163,0.50,0.163582192,0.21
AT31-2015,0.126253568,0.56,0.194414269,0.37
AT32-1986,0.127311703,0.58,0.162689041,0.21
AT32-1987,0.114481475,0.28,0.15214395,0.17
AT32-1988,0.121549267,0.47,0.183599271,0.31
AT32-1989,0.126017425,0.56,0.137748516,0.11
AT32-1990,0.129022318,0.60,0.162130251,0.21
AT32-1991,0.122810374,0.50,0.137408447,0.10
AT32-1992,0.125631162,0.55,0.164960724,0.22
AT32-1993,0.117314984,0.36,0.174644749,0.27
AT32-1994,0.119639897,0.42,0.184773516,0.32
AT32-1995,0.111763482,0.22,0.183812329,0.31
AT32-1996,0.115984921,0.32,0.116143215,0.04
AT32-1997,0.125066565,0.54,0.152383676,0.17
AT32-1998,0.115933138,0.32,0.184795662,0.32
AT32-1999,0.117541798,0.36,0.166628539,0.23
AT32-2000,0.12207514,0.48,0.155110314,0.18
AT32-2001,0.118471872,0.39,0.1590871,0.19
AT32-2002,0.119442384,0.42,0.173727968,0.26
AT32-2003,0.131103287,0.62,0.136609361,0.10
AT32-2004,0.121045,0.46,0.155574226,0.18
AT32-2005,0.120433862,0.44,0.13814395,0.11
AT32-2006,0.125941507,0.56,0.15318105,0.17
AT32-2007,0.124168266,0.52,0.194524658,0.37
AT32-2008,0.118587501,0.39,0.153204463,0.17
AT32-2009,0.118795474,0.40,0.143557078,0.13
AT32-2010,0.118019692,0.38,0.14360274,0.13
AT32-2011,0.137398017,0.67,0.138261872,0.11
AT32-2012,0.124176814,0.53,0.144321038,0.14
AT32-2013,0.112603957,0.24,0.123324429,0.05
AT32-2014,0.116740354,0.34,0.111056849,0.03
AT32-2015,0.128636308,0.60,0.140287443,0.12
AT33-1986,0.12983453,0.61,0.162689041,0.21
AT33-1987,0.11660088,0.34,0.15214395,0.17
AT33-1988,0.122318737,0.49,0.183599271,0.31
AT33-1989,0.126787877,0.57,0.137748516,0.11
AT33-1990,0.128544518,0.59,0.162130251,0.21
AT33-1991,0.125526485,0.55,0.137408447,0.10
AT33-1992,0.124350666,0.53,0.164960724,0.22
AT33-1993,0.118541832,0.39,0.174644749,0.27
AT33-1994,0.121567679,0.47,0.184773516,0.32
AT33-1995,0.114189097,0.27,0.183812329,0.31
AT33-1996,0.116944298,0.35,0.116143215,0.04
AT33-1997,0.126975566,0.57,0.152383676,0.17
AT33-1998,0.118889229,0.40,0.184795662,0.32
AT33-1999,0.116966248,0.35,0.166628539,0.23
AT33-2000,0.120062786,0.44,0.155110314,0.18
AT33-2001,0.119427207,0.42,0.1590871,0.19
AT33-2002,0.119971949,0.43,0.173727968,0.26
AT33-2003,0.132601549,0.63,0.136609361,0.10
AT33-2004,0.123064316,0.50,0.155574226,0.18
AT33-2005,0.124245332,0.53,0.13814395,0.11
AT33-2006,0.128774864,0.60,0.15318105,0.17
AT33-2007,0.128209079,0.59,0.194524658,0.37
AT33-2008,0.120284537,0.44,0.153204463,0.17
AT33-2009,0.122792272,0.50,0.143557078,0.13
AT33-2010,0.121265772,0.47,0.14360274,0.13
AT33-2011,0.141600329,0.71,0.138261872,0.11
AT33-2012,0.125818404,0.56,0.144321038,0.14
AT33-2013,0.114105973,0.27,0.123324429,0.05
AT33-2014,0.117787364,0.37,0.111056849,0.03
AT33-2015,0.131622543,0.63,0.140287443,0.12
AT34-1986,0.122967006,0.50,0.162689041,0.21
AT34-1987,0.108515868,0.16,0.15214395,0.17
AT34-1988,0.114993029,0.29,0.183599271,0.31
AT34-1989,0.125723973,0.55,0.137748516,0.11
AT34-1990,0.122971307,0.50,0.162130251,0.21
AT34-1991,0.120332307,0.44,0.137408447,0.10
AT34-1992,0.117593148,0.37,0.164960724,0.22
AT34-1993,0.111553929,0.21,0.174644749,0.27
AT34-1994,0.111034128,0.20,0.184773516,0.32
AT34-1995,0.106392358,0.13,0.183812329,0.31
AT34-1996,0.111620931,0.21,0.116143215,0.04
AT34-1997,0.11994692,0.43,0.152383676,0.17
AT34-1998,0.110995249,0.20,0.184795662,0.32
AT34-1999,0.112503326,0.23,0.166628539,0.23
AT34-2000,0.113867184,0.27,0.155110314,0.18
AT34-2001,0.113499742,0.25,0.1590871,0.19
AT34-2002,0.113292685,0.25,0.173727968,0.26
AT34-2003,0.129969481,0.61,0.136609361,0.10
AT34-2004,0.117385765,0.36,0.155574226,0.18
AT34-2005,0.122169575,0.48,0.13814395,0.11
AT34-2006,0.122645653,0.49,0.15318105,0.17
AT34-2007,0.123154814,0.51,0.194524658,0.37
AT34-2008,0.116214517,0.33,0.153204463,0.17
AT34-2009,0.118074295,0.38,0.143557078,0.13
AT34-2010,0.114827105,0.29,0.14360274,0.13
AT34-2011,0.140407058,0.70,0.138261872,0.11
AT34-2012,0.124710577,0.54,0.144321038,0.14
AT34-2013,0.107808435,0.15,0.123324429,0.05
AT34-2014,0.115377606,0.31,0.111056849,0.03
AT34-2015,0.126516463,0.57,0.140287443,0.12
BE10-1986,0.120748258,0.45,0.274680023,0.71
BE10-1987,0.108937338,0.16,0.2139121,0.47
BE10-1988,0.107791947,0.15,0.263158811,0.68
BE10-1989,0.125130745,0.54,0.210616324,0.45
BE10-1990,0.123245427,0.51,0.276734932,0.72
BE10-1991,0.122122005,0.48,0.221265183,0.51
BE10-1992,0.117004201,0.35,0.250167236,0.64
BE10-1993,0.112586998,0.24,0.252581621,0.64
BE10-1994,0.1137978,0.26,0.268500342,0.69
BE10-1995,0.118243647,0.38,0.25596153,0.66
BE10-1996,0.116023946,0.32,0.216423953,0.49
BE10-1997,0.122940939,0.50,0.225720662,0.53
BE10-1998,0.104630957,0.10,0.274863014,0.71
BE10-1999,0.118435337,0.39,0.271921347,0.70
BE10-2000,0.109709023,0.17,0.275559654,0.71
BE10-2001,0.111763242,0.22,0.2386879,0.60
BE10-2002,0.113062097,0.24,0.26264589,0.68
BE10-2003,0.134171497,0.65,0.202724201,0.41
BE10-2004,0.117993238,0.38,0.237835496,0.59
BE10-2005,0.116642561,0.34,0.211980594,0.46
BE10-2006,0.11648062,0.33,0.2436879,0.61
BE10-2007,0.11498611,0.29,0.252048059,0.64
BE10-2008,0.113724668,0.26,0.243549863,0.61
BE10-2009,0.119424387,0.42,0.228067009,0.54
BE10-2010,0.114712241,0.29,0.19582363,0.38
BE10-2011,0.126199186,0.56,0.225811986,0.53
BE10-2012,0.114643844,0.29,0.230000455,0.55
BE10-2013,0.109579911,0.17,0.221410959,0.51
BE10-2014,0.118906306,0.40,0.233956507,0.57
BE10-2015,0.124196646,0.53,0.257418265,0.66
BE21-1986,0.123235857,0.51,0.285690411,0.74
BE21-1987,0.110618699,0.19,0.226264041,0.53
BE21-1988,0.108856267,0.16,0.276744422,0.72
BE21-1989,0.123474095,0.51,0.228009589,0.54
BE21-1990,0.119966856,0.43,0.291987443,0.76
BE21-1991,0.12119487,0.46,0.233116324,0.57
BE21-1992,0.118520376,0.39,0.261983834,0.67
BE21-1993,0.113709462,0.26,0.25809258,0.66
BE21-1994,0.115183124,0.30,0.2768129,0.72
BE21-1995,0.121019697,0.46,0.264986301,0.68
BE21-1996,0.114850436,0.29,0.225920196,0.53
BE21-1997,0.120634098,0.45,0.234565753,0.57
BE21-1998,0.104627079,0.10,0.285044977,0.74
BE21-1999,0.119037134,0.41,0.279663584,0.73
BE21-2000,0.110549973,0.19,0.284574226,0.74
BE21-2001,0.113503933,0.26,0.243943265,0.61
BE21-2002,0.114029634,0.27,0.259341667,0.67
BE21-2003,0.134633285,0.65,0.207516667,0.44
BE21-2004,0.117217423,0.36,0.246592099,0.62
BE21-2005,0.119060357,0.41,0.221768265,0.51
BE21-2006,0.115113752,0.30,0.25056153,0.64
BE21-2007,0.115168636,0.30,0.263407306,0.68
BE21-2008,0.112664241,0.24,0.254514344,0.65
BE21-2009,0.11876186,0.40,0.233302854,0.57
BE21-2010,0.115912592,0.32,0.195964155,0.38
BE21-2011,0.124689119,0.53,0.23876484,0.60
BE21-2012,0.113775106,0.26,0.228957536,0.55
BE21-2013,0.109808145,0.18,0.231240639,0.56
BE21-2014,0.119468372,0.42,0.230523858,0.55
BE21-2015,0.123562532,0.51,0.26405137,0.68
BE22-1986,0.123861035,0.52,0.249501598,0.63
BE22-1987,0.111066749,0.20,0.192578082,0.36
BE22-1988,0.111324604,0.21,0.239520833,0.60
BE22-1989,0.125195462,0.54,0.195606963,0.38
BE22-1990,0.12189537,0.48,0.256827397,0.66
BE22-1991,0.123468424,0.51,0.198346575,0.39
BE22-1992,0.119040822,0.41,0.22677607,0.53
BE22-1993,0.115553691,0.31,0.226643265,0.53
BE22-1994,0.1161361,0.32,0.247890753,0.63
BE22-1995,0.120952744,0.46,0.229757078,0.55
BE22-1996,0.115704783,0.31,0.186170765,0.33
BE22-1997,0.122096726,0.48,0.205173402,0.42
BE22-1998,0.106188576,0.13,0.256321119,0.66
BE22-1999,0.121249669,0.47,0.250189269,0.64
BE22-2000,0.113564608,0.26,0.255879781,0.66
BE22-2001,0.116185486,0.33,0.212418151,0.46
BE22-2002,0.11497801,0.29,0.233300571,0.57
BE22-2003,0.138069305,0.68,0.177929452,0.29
BE22-2004,0.120842184,0.45,0.216008424,0.49
BE22-2005,0.119629108,0.42,0.18960605,0.35
BE22-2006,0.116862574,0.34,0.220332877,0.50
BE22-2007,0.11776107,0.37,0.228923858,0.55
BE22-2008,0.115442772,0.31,0.222190688,0.52
BE22-2009,0.120225866,0.44,0.205146005,0.42
BE22-2010,0.117525826,0.36,0.166052055,0.23
BE22-2011,0.127162646,0.57,0.206970776,0.44
BE22-2012,0.113702073,0.26,0.207192395,0.44
BE22-2013,0.109417879,0.17,0.196860731,0.39
BE22-2014,0.122724803,0.50,0.210367922,0.45
BE22-2015,0.126040186,0.56,0.234916096,0.58
BE23-1986,0.123304372,0.51,0.327773174,0.85
BE23-1987,0.112735874,0.24,0.255284018,0.65
BE23-1988,0.111071174,0.20,0.311761498,0.81
BE23-1989,0.125698459,0.55,0.254246005,0.65
BE23-1990,0.124698477,0.53,0.326033562,0.85
BE23-1991,0.124481712,0.53,0.267368037,0.69
BE23-1992,0.119590961,0.42,0.297211179,0.78
BE23-1993,0.114714737,0.29,0.296178653,0.77
BE23-1994,0.115401298,0.31,0.309023402,0.81
BE23-1995,0.121821411,0.48,0.303213014,0.79
BE23-1996,0.118644125,0.40,0.269545082,0.70
BE23-1997,0.124396976,0.53,0.269699543,0.70
BE23-1998,0.107926509,0.15,0.318518151,0.83
BE23-1999,0.120831158,0.45,0.315801484,0.82
BE23-2000,0.111936626,0.22,0.31877015,0.83
BE23-2001,0.114629946,0.29,0.284847717,0.74
BE23-2002,0.116476458,0.33,0.302142352,0.79
BE23-2003,0.134604606,0.65,0.244514954,0.61
BE23-2004,0.119932431,0.43,0.279919513,0.73
BE23-2005,0.11940626,0.42,0.256669635,0.66
BE23-2006,0.117853371,0.37,0.288913014,0.75
BE23-2007,0.116058792,0.32,0.297698288,0.78
BE23-2008,0.115473044,0.31,0.291149021,0.76
BE23-2009,0.121587105,0.47,0.267167466,0.69
BE23-2010,0.117979831,0.38,0.236370434,0.58
BE23-2011,0.127197573,0.58,0.270885274,0.70
BE23-2012,0.115259367,0.30,0.263999886,0.68
BE23-2013,0.111603199,0.21,0.271388699,0.70
BE23-2014,0.121263016,0.47,0.266454795,0.69
BE23-2015,0.125147815,0.54,0.301880023,0.79
BE24-1986,0.124292774,0.53,0.274680023,0.71
BE24-1987,0.111943037,0.22,0.2139121,0.47
BE24-1988,0.111422026,0.21,0.263158811,0.68
BE24-1989,0.125622008,0.55,0.210616324,0.45
BE24-1990,0.123797281,0.52,0.276734932,0.72
BE24-1991,0.124576796,0.53,0.221265183,0.51
BE24-1992,0.120043715,0.43,0.250167236,0.64
BE24-1993,0.115841547,0.32,0.252581621,0.64
BE24-1994,0.11627816,0.33,0.268500342,0.69
BE24-1995,0.121129666,0.46,0.25596153,0.66
BE24-1996,0.117586815,0.37,0.216423953,0.49
BE24-1997,0.124705062,0.53,0.225720662,0.53
BE24-1998,0.108009167,0.15,0.274863014,0.71
BE24-1999,0.120929447,0.46,0.271921347,0.70
BE24-2000,0.113206577,0.25,0.275559654,0.71
BE24-2001,0.115929955,0.32,0.2386879,0.60
BE24-2002,0.116953894,0.35,0.26264589,0.68
BE24-2003,0.137097088,0.67,0.202724201,0.41
BE24-2004,0.120763412,0.45,0.237835496,0.59
BE24-2005,0.119899282,0.43,0.211980594,0.46
BE24-2006,0.118614377,0.39,0.2436879,0.61
BE24-2007,0.118251432,0.38,0.252048059,0.64
BE24-2008,0.116420511,0.33,0.243549863,0.61
BE24-2009,0.1223108,0.49,0.228067009,0.54
BE24-2010,0.117945914,0.38,0.19582363,0.38
BE24-2011,0.129106392,0.60,0.225811986,0.53
BE24-2012,0.11639409,0.33,0.230000455,0.55
BE24-2013,0.112256742,0.23,0.221410959,0.51
BE24-2014,0.123052264,0.50,0.233956507,0.57
BE24-2015,0.127221081,0.58,0.257418265,0.66
BE25-1986,0.12525183,0.54,0.374712557,0.92
BE25-1987,0.115512073,0.31,0.295124087,0.77
BE25-1988,0.114478692,0.28,0.358271061,0.90
BE25-1989,0.127226845,0.58,0.298083219,0.78
BE25-1990,0.129871309,0.61,0.371400799,0.92
BE25-1991,0.127316295,0.58,0.30877774,0.81
BE25-1992,0.122492045,0.49,0.342695241,0.88
BE25-1993,0.116326374,0.33,0.338618265,0.87
BE25-1994,0.117280389,0.36,0.350239726,0.89
BE25-1995,0.124975065,0.54,0.349696461,0.89
BE25-1996,0.121505094,0.47,0.316105077,0.82
BE25-1997,0.126711346,0.57,0.308830822,0.81
BE25-1998,0.111487009,0.21,0.36483379,0.91
BE25-1999,0.124499344,0.53,0.361140753,0.91
BE25-2000,0.11352622,0.26,0.363308288,0.91
BE25-2001,0.117898188,0.37,0.332386073,0.86
BE25-2002,0.119336729,0.41,0.341389155,0.88
BE25-2003,0.135695732,0.66,0.28403847,0.74
BE25-2004,0.122369656,0.49,0.318988046,0.83
BE25-2005,0.120572538,0.45,0.302317922,0.79
BE25-2006,0.119064935,0.41,0.332769977,0.86
BE25-2007,0.117931607,0.38,0.342390297,0.88
BE25-2008,0.117505643,0.36,0.341487933,0.88
BE25-2009,0.125233501,0.54,0.308317237,0.80
BE25-2010,0.122299865,0.49,0.27860742,0.72
BE25-2011,0.127514248,0.58,0.317869635,0.83
BE25-2012,0.116909729,0.35,0.309413593,0.81
BE25-2013,0.113287846,0.25,0.319998402,0.84
BE25-2014,0.12441749,0.53,0.307705365,0.80
BE25-2015,0.126415239,0.56,0.348393265,0.89
BE31-1986,0.123739885,0.52,0.252478881,0.64
BE31-1987,0.112203143,0.22,0.201693493,0.41
BE31-1988,0.112280847,0.23,0.243058743,0.61
BE31-1989,0.126646576,0.57,0.197036986,0.39
BE31-1990,0.125255581,0.55,0.252349658,0.64
BE31-1991,0.1257129,0.55,0.205378995,0.43
BE31-1992,0.120356599,0.44,0.228210496,0.54
BE31-1993,0.116377021,0.33,0.23751347,0.59
BE31-1994,0.115252337,0.30,0.249766781,0.63
BE31-1995,0.1210327,0.46,0.238598059,0.59
BE31-1996,0.117819217,0.37,0.199186134,0.40
BE31-1997,0.126066994,0.56,0.212204566,0.46
BE31-1998,0.108660309,0.16,0.255493037,0.66
BE31-1999,0.121052107,0.46,0.253343037,0.65
BE31-2000,0.114120395,0.27,0.251993511,0.64
BE31-2001,0.115796572,0.32,0.221283562,0.51
BE31-2002,0.118056008,0.38,0.246063242,0.62
BE31-2003,0.137357439,0.67,0.191405023,0.36
BE31-2004,0.121606638,0.47,0.221293488,0.51
BE31-2005,0.119872564,0.43,0.193687443,0.37
BE31-2006,0.118256458,0.38,0.225338128,0.53
BE31-2007,0.120140499,0.44,0.236748858,0.58
BE31-2008,0.116365246,0.33,0.225383994,0.53
BE31-2009,0.123558321,0.51,0.212868493,0.47
BE31-2010,0.11742884,0.36,0.183587557,0.31
BE31-2011,0.129935444,0.61,0.209734932,0.45
BE31-2012,0.115951041,0.32,0.214449567,0.48
BE31-2013,0.11064172,0.19,0.203738699,0.42
BE31-2014,0.123188253,0.51,0.215073174,0.48
BE31-2015,0.127434365,0.58,0.235777854,0.58
BE32-1986,0.12313791,0.51,0.265277854,0.69
BE32-1987,0.11244014,0.23,0.211633447,0.46
BE32-1988,0.112878494,0.24,0.255110428,0.65
BE32-1989,0.125682455,0.55,0.20633516,0.43
BE32-1990,0.126015034,0.56,0.26454121,0.68
BE32-1991,0.125265245,0.55,0.216358219,0.49
BE32-1992,0.119668307,0.42,0.240326047,0.60
BE32-1993,0.114537306,0.28,0.248556393,0.63
BE32-1994,0.11354801,0.26,0.259291324,0.67
BE32-1995,0.119842295,0.43,0.249779224,0.63
BE32-1996,0.119054341,0.41,0.212895947,0.47
BE32-1997,0.126722073,0.57,0.22265742,0.52
BE32-1998,0.108802146,0.16,0.265542123,0.69
BE32-1999,0.122214674,0.48,0.264346005,0.68
BE32-2000,0.112986159,0.24,0.26276127,0.68
BE32-2001,0.113990075,0.27,0.232839155,0.57
BE32-2002,0.117702155,0.37,0.257170434,0.66
BE32-2003,0.135848315,0.66,0.201619521,0.41
BE32-2004,0.120975982,0.46,0.231491689,0.56
BE32-2005,0.119018624,0.40,0.204521461,0.42
BE32-2006,0.117106934,0.35,0.236823174,0.59
BE32-2007,0.119415755,0.42,0.247251142,0.63
BE32-2008,0.114804134,0.29,0.236771858,0.59
BE32-2009,0.122243325,0.48,0.223313356,0.52
BE32-2010,0.118453942,0.39,0.195640183,0.38
BE32-2011,0.128287144,0.59,0.219712557,0.50
BE32-2012,0.115870081,0.32,0.224784608,0.52
BE32-2013,0.110442896,0.19,0.215679452,0.48
BE32-2014,0.120646898,0.45,0.225272032,0.53
BE32-2015,0.125461235,0.55,0.247816553,0.63
BE33-1986,0.118156224,0.38,0.220369863,0.50
BE33-1987,0.107369837,0.14,0.176203767,0.27
BE33-1988,0.106457033,0.13,0.214199909,0.47
BE33-1989,0.123999293,0.52,0.172496689,0.26
BE33-1990,0.118820476,0.40,0.221080023,0.51
BE33-1991,0.122650172,0.49,0.177849429,0.29
BE33-1992,0.114035176,0.27,0.198247268,0.39
