year_region,CF_PV,perc_PV,CF_WT,perc_WT
PL21-1992,0.127818712,0.58,0.18451571,0.32
PL21-1993,0.119447338,0.42,0.190652511,0.35
PL21-1994,0.122072426,0.48,0.193460388,0.37
PL21-1995,0.117148098,0.35,0.17867911,0.29
PL21-1996,0.112640551,0.24,0.127624658,0.07
PL21-1997,0.117099858,0.35,0.163216667,0.21
PL21-1998,0.113007838,0.24,0.205974429,0.43
PL21-1999,0.119324038,0.41,0.177035731,0.28
PL21-2000,0.124355153,0.53,0.165150956,0.22
PL21-2001,0.112205166,0.22,0.143992466,0.13
PL21-2002,0.121494805,0.47,0.17967911,0.29
PL21-2003,0.126696465,0.57,0.148151256,0.15
PL21-2004,0.118126809,0.38,0.165381944,0.22
PL21-2005,0.120573329,0.45,0.147681849,0.15
PL21-2006,0.126491735,0.57,0.133982534,0.09
PL21-2007,0.119532876,0.42,0.189208447,0.34
PL21-2008,0.113282501,0.25,0.180081853,0.30
PL21-2009,0.119798986,0.43,0.138334475,0.11
PL21-2010,0.116723411,0.34,0.150799087,0.16
PL21-2011,0.128665056,0.60,0.151111187,0.16
PL21-2012,0.121020043,0.46,0.156096198,0.18
PL21-2013,0.107607671,0.15,0.14161347,0.12
PL21-2014,0.11854334,0.39,0.140299543,0.12
PL21-2015,0.126701175,0.57,0.171597603,0.25
PL22-1986,0.127092029,0.57,0.174764726,0.27
PL22-1987,0.11421675,0.27,0.164965525,0.22
PL22-1988,0.1195707,0.42,0.180884791,0.30
PL22-1989,0.123659638,0.51,0.172119749,0.25
PL22-1990,0.120022158,0.43,0.195381393,0.38
PL22-1991,0.119442841,0.42,0.159131735,0.19
PL22-1992,0.126834317,0.57,0.18451571,0.32
PL22-1993,0.117096815,0.35,0.190652511,0.35
PL22-1994,0.120035779,0.43,0.193460388,0.37
PL22-1995,0.117277967,0.36,0.17867911,0.29
PL22-1996,0.111455734,0.21,0.127624658,0.07
PL22-1997,0.118576239,0.39,0.163216667,0.21
PL22-1998,0.114081021,0.27,0.205974429,0.43
PL22-1999,0.120587564,0.45,0.177035731,0.28
PL22-2000,0.119970544,0.43,0.165150956,0.22
PL22-2001,0.108605381,0.16,0.143992466,0.13
PL22-2002,0.120874444,0.46,0.17967911,0.29
PL22-2003,0.128700721,0.60,0.148151256,0.15
PL22-2004,0.117091677,0.35,0.165381944,0.22
PL22-2005,0.122431551,0.49,0.147681849,0.15
PL22-2006,0.125115979,0.54,0.133982534,0.09
PL22-2007,0.119172804,0.41,0.189208447,0.34
PL22-2008,0.114895363,0.29,0.180081853,0.30
PL22-2009,0.118301201,0.38,0.138334475,0.11
PL22-2010,0.113724459,0.26,0.150799087,0.16
PL22-2011,0.129592829,0.60,0.151111187,0.16
PL22-2012,0.122188333,0.48,0.156096198,0.18
PL22-2013,0.105880477,0.12,0.14161347,0.12
PL22-2014,0.121736477,0.47,0.140299543,0.12
PL22-2015,0.126729229,0.57,0.171597603,0.25
PL41-1986,0.124653873,0.53,0.260615411,0.67
PL41-1987,0.113129994,0.25,0.241029224,0.60
PL41-1988,0.121280955,0.47,0.263736453,0.68
PL41-1989,0.123063974,0.50,0.249307877,0.63
PL41-1990,0.121236965,0.46,0.276677169,0.72
PL41-1991,0.122308543,0.49,0.234658219,0.57
PL41-1992,0.126402542,0.56,0.260430669,0.67
PL41-1993,0.11487911,0.29,0.268782877,0.69
PL41-1994,0.1211857,0.46,0.274978539,0.71
PL41-1995,0.11917487,0.41,0.25894726,0.67
PL41-1996,0.112205727,0.22,0.192019012,0.36
PL41-1997,0.123027065,0.50,0.234498973,0.57
PL41-1998,0.112164991,0.22,0.279477169,0.72
PL41-1999,0.122573008,0.49,0.241446347,0.60
PL41-2000,0.120096368,0.44,0.234415528,0.57
PL41-2001,0.111002919,0.20,0.222985731,0.52
PL41-2002,0.120221938,0.44,0.248419292,0.63
PL41-2003,0.125961711,0.56,0.215534817,0.48
PL41-2004,0.118575237,0.39,0.245477459,0.62
PL41-2005,0.126114013,0.56,0.212319064,0.46
PL41-2006,0.122342781,0.49,0.195290868,0.38
PL41-2007,0.117611325,0.37,0.272650913,0.70
PL41-2008,0.114488895,0.28,0.249712432,0.63
PL41-2009,0.119391969,0.42,0.211334817,0.46
PL41-2010,0.11655247,0.34,0.219121233,0.50
PL41-2011,0.129797107,0.61,0.242046347,0.61
PL41-2012,0.123211281,0.51,0.226376708,0.53
PL41-2013,0.10436607,0.10,0.206663014,0.43
PL41-2014,0.12328583,0.51,0.219288699,0.50
PL41-2015,0.12789742,0.58,0.256162671,0.66
PL42-1986,0.115591355,0.31,0.324702968,0.85
PL42-1987,0.106787589,0.13,0.292077055,0.76
PL42-1988,0.112470332,0.23,0.317676913,0.83
PL42-1989,0.116448054,0.33,0.312355479,0.81
PL42-1990,0.113252281,0.25,0.344368151,0.88
PL42-1991,0.115202204,0.30,0.292677283,0.76
PL42-1992,0.122089833,0.48,0.319256944,0.83
PL42-1993,0.109578909,0.17,0.322349543,0.84
PL42-1994,0.115229578,0.30,0.33181895,0.86
PL42-1995,0.114519346,0.28,0.315446575,0.82
PL42-1996,0.108837909,0.16,0.239851093,0.60
PL42-1997,0.116391139,0.33,0.290448402,0.76
PL42-1998,0.106041896,0.12,0.338899315,0.87
PL42-1999,0.118712398,0.40,0.281240868,0.73
PL42-2000,0.113195521,0.25,0.292388092,0.76
PL42-2001,0.107502406,0.14,0.277770662,0.72
PL42-2002,0.112517949,0.23,0.305846005,0.80
PL42-2003,0.121961279,0.48,0.273416781,0.71
PL42-2004,0.112685852,0.24,0.31092031,0.81
PL42-2005,0.118443003,0.39,0.269184361,0.69
PL42-2006,0.11354033,0.26,0.257451484,0.66
PL42-2007,0.109624068,0.17,0.332566667,0.86
PL42-2008,0.109802429,0.18,0.313295765,0.82
PL42-2009,0.116472893,0.33,0.271236187,0.70
PL42-2010,0.112520268,0.23,0.274021461,0.71
PL42-2011,0.125700533,0.55,0.316574201,0.83
PL42-2012,0.113592658,0.26,0.292580146,0.76
PL42-2013,0.107123816,0.14,0.269157306,0.69
PL42-2014,0.119449934,0.42,0.278983219,0.72
PL42-2015,0.119352362,0.41,0.33126621,0.86
PL43-1986,0.119314523,0.41,0.231919863,0.56
PL43-1987,0.111766924,0.22,0.203660959,0.42
PL43-1988,0.115660625,0.31,0.24500444,0.62
PL43-1989,0.12128565,0.47,0.218150571,0.50
PL43-1990,0.118852994,0.40,0.255821233,0.66
PL43-1991,0.122010887,0.48,0.205532306,0.43
PL43-1992,0.125480995,0.55,0.238198998,0.59
PL43-1993,0.114127255,0.27,0.244338014,0.61
PL43-1994,0.115994683,0.32,0.256495776,0.66
PL43-1995,0.117150252,0.35,0.236299429,0.58
PL43-1996,0.111338537,0.21,0.172409153,0.25
PL43-1997,0.124147865,0.52,0.214474543,0.48
PL43-1998,0.111065333,0.20,0.257348744,0.66
PL43-1999,0.120163903,0.44,0.218182877,0.50
PL43-2000,0.115779508,0.32,0.221715164,0.51
PL43-2001,0.106917068,0.14,0.202798174,0.41
PL43-2002,0.116319447,0.33,0.225127854,0.53
PL43-2003,0.129491317,0.60,0.191946804,0.36
PL43-2004,0.11748083,0.36,0.221530055,0.51
PL43-2005,0.123686894,0.52,0.196102854,0.38
PL43-2006,0.120151731,0.44,0.186339726,0.33
PL43-2007,0.117696941,0.37,0.246802397,0.62
PL43-2008,0.112863179,0.24,0.226513206,0.53
PL43-2009,0.116942164,0.35,0.194260046,0.37
PL43-2010,0.115082574,0.30,0.192272945,0.36
PL43-2011,0.129920505,0.61,0.22612911,0.53
PL43-2012,0.121447587,0.47,0.21088775,0.46
PL43-2013,0.104181279,0.10,0.188685274,0.34
