year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
c_PV_OPT,447930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_PV_AVG,701683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_PV_PES,1741329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_OPT,888381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_AVG,1149465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_PES,1856062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_E_OPT,0,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566,27.73787566
p_E_AVG,0,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355,52.48820355
p_E_PES,0,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399,109.0045399
