year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
c_PV_OPT,491895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_PV_AVG,770553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_PV_PES,1912240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_OPT,975576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_AVG,1262285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_PES,2038235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_E_OPT,0,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948,48.13223948
p_E_AVG,0,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772,126.7165772
p_E_PES,0,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988,337.8183988
