Time step,ITH5PV,ITH5WT,NO03PV,NO03WT,ES42PV,ES42WT,UKC1PV,UKC1WT
1641,0,0.051,0,0.118,0,0.2,0,0.073
1642,0,0.041,0,0.131,0,0.203,0,0.085
1643,0,0.041,0,0.155,0,0.218,0,0.101
1644,0.00041,0.031,0.00084,0.194,0,0.235,0,0.122
1645,0.01417,0.024,0.03344,0.219,0.01007,0.231,0,0.135
1646,0.03108,0.023,0.13434,0.212,0.15106,0.194,0.09117,0.134
1647,0.06941,0.022,0.1824,0.228,0.32789,0.203,0.27913,0.144
1648,0.11077,0.021,0.17895,0.256,0.47399,0.285,0.55125,0.186
1649,0.12959,0.016,0.16452,0.281,0.5873,0.347,0.70343,0.276
1650,0.10982,0.016,0.10891,0.361,0.60793,0.401,0.75745,0.386
1651,0.11482,0.019,0.15089,0.481,0.50629,0.431,0.75253,0.464
1652,0.09974,0.016,0.17382,0.547,0.39351,0.449,0.67388,0.501
1653,0.11618,0.02,0.14897,0.608,0.32998,0.475,0.54391,0.503
1654,0.08878,0.036,0.03799,0.706,0.26181,0.448,0.32892,0.446
1655,0.00787,0.077,0,0.781,0.15097,0.46,0.05645,0.383
1656,0,0.099,0,0.828,0.01282,0.545,0,0.38
1657,0,0.125,0,0.874,0,0.607,0,0.378
1658,0,0.156,0,0.911,0,0.645,0,0.4
1659,0,0.15,0,0.916,0,0.671,0,0.449
1660,0,0.229,0,0.962,0,0.674,0,0.494
1661,0,0.334,0,0.965,0,0.681,0,0.519
1662,0,0.269,0,0.979,0,0.687,0,0.543
1663,0,0.268,0,0.985,0,0.706,0,0.552
1664,0,0.297,0,0.992,0,0.722,0,0.545
1665,0,0.262,0,0.995,0,0.689,0,0.521
1666,0,0.212,0,0.996,0,0.623,0,0.524
1667,0,0.164,0,0.995,0,0.547,0,0.532
1668,0.00529,0.129,0.00284,0.994,0,0.475,0,0.554
1669,0.1151,0.055,0.07891,0.99,0.00435,0.377,0,0.566
1670,0.26815,0.03,0.23823,0.986,0.08711,0.297,0.02491,0.606
1671,0.39742,0.031,0.34316,0.981,0.17279,0.33,0.0453,0.661
1672,0.55037,0.03,0.40097,0.979,0.19557,0.427,0.04199,0.697
1673,0.62261,0.054,0.40891,0.975,0.26018,0.428,0.0465,0.702
1674,0.60696,0.101,0.28615,0.963,0.2578,0.395,0.03796,0.687
1675,0.63951,0.189,0.35299,0.941,0.31272,0.396,0.05621,0.679
1676,0.55814,0.348,0.29221,0.902,0.33254,0.403,0.06854,0.674
1677,0.3859,0.338,0.19036,0.889,0.27127,0.43,0.04485,0.701
1678,0.1781,0.34,0.04771,0.89,0.24927,0.409,0.04222,0.701
1679,0.0078,0.37,0,0.89,0.14621,0.316,0.02595,0.696
1680,0,0.382,0,0.863,0.01068,0.294,0,0.695
1681,0,0.261,0,0.811,0,0.25,0,0.684
1682,0,0.239,0,0.805,0,0.197,0,0.678
1683,0,0.244,0,0.712,0,0.164,0,0.655
1684,0,0.254,0,0.563,0,0.148,0,0.628
1685,0,0.246,0,0.452,0,0.141,0,0.624
1686,0,0.221,0,0.369,0,0.14,0,0.651
1687,0,0.194,0,0.297,0,0.127,0,0.683
1688,0,0.169,0,0.234,0,0.127,0,0.714
1689,0,0.123,0,0.16,0,0.112,0,0.739
1690,0,0.131,0,0.106,0,0.101,0,0.758
1691,0,0.146,0,0.071,0,0.089,0,0.729
1692,0.00484,0.088,0.00185,0.045,0,0.076,0,0.634
1693,0.1313,0.073,0.06166,0.01,0.01076,0.041,0,0.55
1694,0.29979,0.067,0.18523,0.002,0.20304,0.018,0.04655,0.46
1695,0.43024,0.076,0.28903,0,0.43376,0.015,0.09486,0.42
1696,0.5238,0.068,0.34757,0,0.61807,0.016,0.10019,0.404
1697,0.63342,0.063,0.3541,0,0.745,0.018,0.12454,0.38
1698,0.69489,0.067,0.27304,0.002,0.76894,0.027,0.18305,0.352
1699,0.69991,0.077,0.339,0.006,0.79464,0.046,0.22314,0.314
1700,0.60805,0.193,0.30017,0.03,0.7564,0.069,0.26305,0.273
1701,0.43722,0.094,0.15591,0.053,0.64739,0.059,0.29703,0.246
1702,0.21558,0.088,0.02974,0.094,0.46739,0.032,0.18902,0.183
1703,0.01396,0.116,0,0.15,0.22571,0.015,0.07128,0.167
1704,0,0.136,0,0.2,0.01051,0.01,0,0.157
1705,0,0.144,0,0.246,0,0.008,0,0.129
1706,0,0.179,0,0.27,0,0.006,0,0.099
1707,0,0.168,0,0.289,0,0.01,0,0.07
1708,0,0.113,0,0.294,0,0.02,0,0.053
1709,0,0.12,0,0.313,0,0.028,0,0.047
1710,0,0.117,0,0.34,0,0.032,0,0.031
1711,0,0.104,0,0.379,0,0.031,0,0.016
1712,0,0.073,0,0.424,0,0.027,0,0.009
1713,0,0.073,0,0.454,0,0.024,0,0.005
1714,0,0.116,0,0.483,0,0.031,0,0.01
1715,0,0.133,0,0.515,0,0.044,0,0.02
1716,0.00537,0.126,0.00658,0.531,0,0.057,0,0.038
1717,0.09618,0.103,0.03021,0.53,0.013,0.054,0.00331,0.055
1718,0.20311,0.107,0.08692,0.524,0.2065,0.025,0.07774,0.069
1719,0.29518,0.102,0.1429,0.559,0.42185,0.059,0.18527,0.113
1720,0.34603,0.099,0.18224,0.591,0.58508,0.09,0.25023,0.156
1721,0.41647,0.099,0.16774,0.603,0.7174,0.097,0.30323,0.19
1722,0.45268,0.1,0.10536,0.567,0.76259,0.098,0.39169,0.195
1723,0.43813,0.095,0.10723,0.524,0.79592,0.102,0.50233,0.184
1724,0.36926,0.078,0.11198,0.481,0.74182,0.106,0.52786,0.167
1725,0.2396,0.045,0.06816,0.452,0.62572,0.094,0.39835,0.15
1726,0.11024,0.043,0.02021,0.486,0.45604,0.066,0.25495,0.146
1727,0.00779,0.014,0,0.522,0.23127,0.035,0.08328,0.196
1728,0,0.007,0,0.544,0.01214,0.032,0,0.256
1729,0,0,0,0.546,0,0.035,0,0.282
1730,0,0,0,0.551,0,0.041,0,0.286
1731,0,0,0,0.571,0,0.04,0,0.258
1732,0,0,0,0.572,0,0.047,0,0.212
1733,0,0,0,0.565,0,0.058,0,0.179
1734,0,0,0,0.565,0,0.065,0,0.176
1735,0,0,0,0.588,0,0.065,0,0.18
1736,0,0,0,0.617,0,0.058,0,0.175
1737,0,0,0,0.668,0,0.047,0,0.148
1738,0,0,0,0.723,0,0.028,0,0.13
1739,0,0,0,0.777,0,0.017,0,0.123
1740,0.00304,0,0.00761,0.824,0,0.007,0,0.131
1741,0.0417,0,0.05507,0.848,0.00521,0.003,0.00047,0.175
1742,0.15702,0.01,0.12196,0.877,0.11328,0.001,0.04474,0.212
1743,0.29613,0.006,0.14471,0.912,0.26329,0.002,0.08947,0.268
1744,0.41123,0.025,0.16382,0.944,0.40527,0.003,0.078,0.327
1745,0.59191,0.055,0.24577,0.959,0.56844,0.007,0.09411,0.367
1746,0.71099,0.079,0.23055,0.967,0.60885,0.014,0.09958,0.418
1747,0.70142,0.093,0.30556,0.969,0.64862,0.025,0.09159,0.47
1748,0.60702,0.115,0.25925,0.968,0.61939,0.043,0.09924,0.512
1749,0.44528,0.119,0.18158,0.948,0.51373,0.062,0.05866,0.63
1750,0.21594,0.099,0.06567,0.949,0.37107,0.075,0.04763,0.724
1751,0.01607,0.113,0,0.937,0.18009,0.064,0.01349,0.787
1752,0,0.137,0,0.927,0.01034,0.075,0,0.823
1753,0,0.12,0,0.922,0,0.087,0,0.881
1754,0,0.071,0,0.917,0,0.095,0,0.943
1755,0,0.073,0,0.857,0,0.095,0,0.98
1756,0,0.087,0,0.768,0,0.091,0,0.998
1757,0,0.1,0,0.695,0,0.098,0,0.996
1758,0,0.109,0,0.618,0,0.106,0,1
1759,0,0.122,0,0.497,0,0.116,0,1.002
1760,0,0.14,0,0.395,0,0.124,0,1.002
1761,0,0.132,0,0.393,0,0.135,0,1.002
1762,0,0.108,0,0.338,0,0.134,0,1.002
1763,0,0.081,0,0.353,0,0.158,0,1.001
1764,0.0078,0.045,0.00938,0.455,0,0.208,0,1.001
1765,0.14645,0.018,0.01589,0.588,0.00822,0.17,0.00143,1
1766,0.36056,0.024,0.05185,0.629,0.11014,0.147,0.05858,1.001
1767,0.5491,0.034,0.14656,0.586,0.2355,0.204,0.08896,0.998
1768,0.66,0.03,0.19853,0.602,0.33875,0.255,0.03959,0.99
1769,0.69513,0.017,0.25178,0.66,0.4466,0.297,0.0418,0.98
1770,0.67176,0.01,0.2435,0.705,0.48355,0.337,0.03967,0.959
1771,0.57513,0.007,0.20687,0.738,0.56014,0.417,0.04306,0.932
1772,0.41483,0.008,0.19403,0.767,0.53752,0.469,0.04138,0.901
1773,0.26388,0.013,0.13801,0.763,0.43141,0.54,0.03528,0.882
1774,0.11785,0.033,0.05265,0.73,0.3003,0.525,0.06441,0.884
1775,0.01002,0.073,0,0.765,0.15395,0.418,0.0511,0.902
1776,0,0.115,0,0.854,0.00875,0.381,0,0.913
1777,0,0.151,0,0.902,0,0.33,0,0.909
1778,0,0.17,0,0.944,0,0.286,0,0.898
1779,0,0.188,0,0.977,0,0.248,0,0.886
1780,0,0.207,0,0.973,0,0.224,0,0.865
1781,0,0.231,0,0.908,0,0.204,0,0.848
1782,0,0.252,0,0.726,0,0.187,0,0.837
1783,0,0.263,0,0.469,0,0.172,0,0.834
1784,0,0.26,0,0.227,0,0.19,0,0.809
1785,0,0.229,0,0.049,0,0.187,0,0.813
1786,0,0.212,0,0.008,0,0.169,0,0.82
1787,0,0.207,0,0.079,0,0.149,0,0.834
1788,0.00592,0.191,0.01408,0.193,0,0.136,0,0.872
1789,0.10709,0.191,0.07315,0.298,0.0091,0.114,0.00388,0.888
1790,0.33142,0.289,0.09174,0.311,0.144,0.113,0.02912,0.915
1791,0.57601,0.366,0.09686,0.216,0.30822,0.164,0.08669,0.96
1792,0.71853,0.37,0.14529,0.202,0.46267,0.222,0.14795,0.973
1793,0.79738,0.352,0.17761,0.269,0.63466,0.287,0.15071,0.974
1794,0.79673,0.34,0.13402,0.385,0.6886,0.37,0.11276,0.973
1795,0.73403,0.335,0.14743,0.558,0.71194,0.443,0.11397,0.97
1796,0.60543,0.328,0.14002,0.66,0.62987,0.494,0.09743,0.962
1797,0.4221,0.307,0.09906,0.649,0.48234,0.504,0.07943,0.922
1798,0.20907,0.236,0.03633,0.55,0.31203,0.46,0.07191,0.872
1799,0.01538,0.209,0,0.567,0.15058,0.331,0.02426,0.868
1800,0,0.21,0,0.564,0.00802,0.296,0,0.858
1801,0,0.175,0,0.592,0,0.271,0,0.845
1802,0,0.143,0,0.74,0,0.242,0,0.824
1803,0,0.113,0,0.766,0,0.208,0,0.826
1804,0,0.114,0,0.676,0,0.199,0,0.825
1805,0,0.12,0,0.528,0,0.208,0,0.805
1806,0,0.135,0,0.378,0,0.221,0,0.768
1807,0,0.153,0,0.213,0,0.248,0,0.754
1808,0,0.166,0,0.126,0,0.292,0,0.751
1809,0,0.151,0,0.058,0,0.328,0,0.748
1810,0,0.125,0,0.045,0,0.342,0,0.747
1811,0,0.103,0,0.116,0,0.343,0,0.742
1812,0.01199,0.078,0.00061,0.32,0,0.331,0,0.765
1813,0.16484,0.047,0.05949,0.435,0.01365,0.287,0.0029,0.789
1814,0.36808,0.127,0.12358,0.711,0.10396,0.294,0.05081,0.838
1815,0.54964,0.202,0.17177,0.986,0.20566,0.372,0.11972,0.91
1816,0.69981,0.274,0.26531,1,0.27262,0.429,0.08232,0.937
1817,0.77341,0.329,0.32412,0.998,0.3175,0.492,0.06486,0.944
1818,0.80259,0.377,0.2831,0.981,0.32899,0.528,0.07843,0.935
1819,0.76378,0.422,0.31357,0.968,0.33198,0.537,0.09802,0.92
1820,0.64313,0.452,0.23973,0.943,0.28665,0.499,0.10489,0.903
1821,0.45759,0.422,0.18004,0.892,0.24521,0.397,0.06962,0.878
1822,0.22746,0.322,0.07427,0.79,0.18919,0.229,0.05806,0.834
1823,0.01585,0.264,0,0.752,0.09696,0.106,0.02541,0.831
1824,0,0.294,0,0.739,0.00496,0.047,0,0.838
1825,0,0.255,0,0.763,0,0.018,0,0.837
1826,0,0.221,0,0.758,0,0.014,0,0.814
1827,0,0.214,0,0.663,0,0.019,0,0.775
1828,0,0.239,0,0.481,0,0.03,0,0.723
1829,0,0.254,0,0.325,0,0.046,0,0.673
1830,0,0.262,0,0.202,0,0.062,0,0.646
1831,0,0.261,0,0.131,0,0.068,0,0.651
1832,0,0.249,0,0.071,0,0.061,0,0.666
1833,0,0.235,0,0.038,0,0.055,0,0.678
1834,0,0.197,0,0.022,0,0.044,0,0.694
1835,0,0.175,0,0.01,0,0.029,0,0.69
1836,0.0164,0.125,0.00753,0.006,0,0.016,0,0.674
1837,0.18174,0.096,0.11109,0.004,0.00881,0.007,0.00331,0.656
1838,0.34925,0.115,0.24632,0.002,0.06747,0.004,0.02406,0.617
1839,0.47864,0.112,0.33773,0.001,0.13578,0.004,0.04862,0.582
1840,0.58426,0.107,0.39971,0,0.17436,0.003,0.08117,0.552
1841,0.61078,0.147,0.40941,0,0.19715,0.002,0.08585,0.524
1842,0.57716,0.156,0.35767,0,0.21859,0,0.11599,0.513
1843,0.50052,0.182,0.36546,0.001,0.22712,0,0.11991,0.512
1844,0.36322,0.212,0.28422,0.037,0.25637,0,0.10498,0.526
1845,0.28337,0.266,0.16613,0.056,0.26639,0,0.10226,0.543
1846,0.13233,0.26,0.05234,0.098,0.24955,0,0.07725,0.539
1847,0.01255,0.289,0,0.17,0.14473,0,0.03763,0.53
1848,0,0.308,0,0.234,0.01089,0.002,0,0.517
1849,0,0.284,0,0.241,0,0.009,0,0.486
1850,0,0.237,0,0.259,0,0.011,0,0.462
1851,0,0.177,0,0.273,0,0.01,0,0.447
1852,0,0.111,0,0.283,0,0.008,0,0.435
1853,0,0.081,0,0.291,0,0.008,0,0.406
1854,0,0.076,0,0.324,0,0.008,0,0.376
1855,0,0.05,0,0.343,0,0.007,0,0.355
1856,0,0.059,0,0.353,0,0.01,0,0.361
1857,0,0.072,0,0.379,0,0.01,0,0.402
1858,0,0.075,0,0.421,0,0.01,0,0.481
1859,0,0.11,0,0.463,0,0.008,0,0.532
1860,0.01331,0.076,0.00154,0.514,0,0.007,0,0.55
1861,0.13852,0.062,0.02339,0.549,0.01934,0.007,0.01287,0.574
1862,0.30153,0.095,0.05987,0.565,0.17841,0.021,0.03927,0.597
1863,0.43355,0.082,0.11606,0.552,0.32748,0.043,0.03713,0.591
1864,0.51562,0.074,0.19657,0.555,0.39143,0.046,0.06243,0.58
1865,0.57352,0.066,0.2313,0.531,0.4198,0.047,0.08041,0.547
1866,0.57481,0.051,0.18368,0.49,0.39937,0.047,0.08154,0.507
1867,0.46827,0.036,0.19267,0.443,0.39499,0.047,0.07741,0.468
1868,0.35495,0.024,0.14782,0.395,0.36582,0.051,0.0647,0.42
1869,0.24898,0.013,0.07715,0.335,0.34026,0.068,0.04574,0.377
1870,0.13151,0.006,0.03289,0.279,0.28317,0.097,0.02777,0.329
1871,0.01321,0,0,0.227,0.153,0.114,0.01698,0.33
1872,0,0,0,0.175,0.01096,0.139,0,0.317
1873,0,0,0,0.126,0,0.174,0,0.302
1874,0,0,0,0.091,0,0.196,0,0.275
1875,0,0,0,0.067,0,0.196,0,0.235
1876,0,0,0,0.049,0,0.196,0,0.18
1877,0,0,0,0.033,0,0.2,0,0.124
1878,0,0,0,0.064,0,0.215,0,0.08
1879,0,0,0,0.095,0,0.268,0,0.051
1880,0,0,0,0.122,0,0.333,0,0.035
1881,0,0,0,0.104,0,0.431,0,0.031
1882,0,0.001,0,0.078,0,0.499,0,0.042
1883,0,0.001,0,0.06,0,0.531,0,0.075
1884,0.02274,0,0.00318,0.056,0,0.539,0,0.128
1885,0.22109,0,0.05934,0.067,0.02182,0.5,0.01697,0.158
1886,0.45589,0,0.15176,0.081,0.19098,0.518,0.0543,0.188
1887,0.63074,0,0.19085,0.086,0.36672,0.549,0.05281,0.209
1888,0.75072,0,0.22889,0.124,0.4909,0.516,0.04236,0.212
1889,0.80606,0,0.25655,0.176,0.55091,0.501,0.04386,0.208
1890,0.79576,0,0.20846,0.24,0.59591,0.493,0.03803,0.2
1891,0.73953,0,0.23991,0.28,0.58728,0.483,0.04484,0.194
1892,0.62935,0,0.19686,0.294,0.52254,0.469,0.04245,0.195
1893,0.45806,0,0.146,0.293,0.41367,0.49,0.0384,0.222
1894,0.23252,0,0.06368,0.285,0.27932,0.507,0.04227,0.249
1895,0.01797,0,0,0.316,0.13753,0.474,0.02988,0.252
1896,0,0,0,0.409,0.01132,0.462,0.00038,0.27
1897,0,0.001,0,0.444,0,0.479,0,0.262
1898,0,0.016,0,0.492,0,0.48,0,0.237
1899,0,0.032,0,0.559,0,0.422,0,0.198
1900,0,0.048,0,0.568,0,0.357,0,0.159
1901,0,0.019,0,0.602,0,0.313,0,0.126
1902,0,0.013,0,0.631,0,0.284,0,0.098
1903,0,0.008,0,0.643,0,0.261,0,0.075
1904,0,0.009,0,0.649,0,0.235,0,0.057
1905,0,0.006,0,0.652,0,0.204,0,0.04
1906,0,0.002,0,0.681,0,0.171,0,0.035
1907,0,0.002,0,0.735,0,0.143,0,0.043
1908,0.02787,0.002,0.00697,0.804,0,0.121,0,0.056
1909,0.23183,0,0.07977,0.863,0.02188,0.104,0.0145,0.064
1910,0.46288,0.001,0.17609,0.906,0.16722,0.12,0.04823,0.062
1911,0.61222,0.015,0.24144,0.919,0.29848,0.127,0.06033,0.069
1912,0.68154,0.026,0.26927,0.927,0.39351,0.144,0.05832,0.079
1913,0.70547,0.041,0.28327,0.934,0.43104,0.165,0.07087,0.08
1914,0.66675,0.041,0.20677,0.941,0.43066,0.188,0.10585,0.079
1915,0.60916,0.047,0.24569,0.947,0.41135,0.206,0.10277,0.076
1916,0.50106,0.046,0.2473,0.953,0.38222,0.217,0.08234,0.077
1917,0.346,0.077,0.19796,0.963,0.33987,0.2,0.05626,0.097
1918,0.17126,0.063,0.09283,0.972,0.25871,0.173,0.03399,0.114
1919,0.01662,0.098,0,0.974,0.13132,0.122,0.02257,0.122
1920,0,0.165,0,0.97,0.01146,0.087,0.00036,0.137
1921,0,0.179,0,0.967,0,0.072,0,0.15
1922,0,0.21,0,0.996,0,0.058,0,0.167
1923,0,0.243,0,0.997,0,0.048,0,0.152
1924,0,0.241,0,0.998,0,0.042,0,0.131
1925,0,0.234,0,0.997,0,0.036,0,0.106
1926,0,0.216,0,0.995,0,0.032,0,0.078
1927,0,0.194,0,0.99,0,0.025,0,0.052
1928,0,0.173,0,0.955,0,0.02,0,0.032
1929,0,0.118,0,0.952,0,0.018,0,0.017
1930,0,0.042,0,0.952,0,0.01,0,0.009
1931,0,0.011,0,0.95,0,0.004,0,0.007
1932,0.02627,0,0.01714,0.948,0,0.002,0,0.005
1933,0.21668,0,0.1517,0.948,0.02027,0.001,0.01171,0.002
1934,0.4378,0,0.29937,0.947,0.14354,0.001,0.04783,0
1935,0.61437,0.004,0.40775,0.951,0.26766,0.003,0.0913,0
1936,0.72447,0,0.47665,0.954,0.37507,0.004,0.08512,0
1937,0.78492,0,0.49725,0.959,0.49205,0.004,0.06793,0
1938,0.78688,0,0.43802,0.961,0.59415,0.003,0.06923,0
1939,0.74813,0.001,0.45144,0.961,0.64166,0.003,0.07839,0
1940,0.63164,0.001,0.37794,0.958,0.60681,0.004,0.08484,0
1941,0.44817,0.001,0.25582,0.959,0.51832,0.011,0.07477,0
1942,0.22303,0,0.10293,0.963,0.38512,0.03,0.04803,0
1943,0.0172,0,0,0.962,0.19723,0.046,0.03155,0.001
1944,0,0,0,0.953,0.01422,0.066,0.00095,0.004
1945,0,0,0,0.943,0,0.071,0,0.005
1946,0,0.001,0,0.94,0,0.058,0,0.003
1947,0,0.019,0,0.943,0,0.034,0,0.001
1948,0,0.043,0,0.945,0,0.016,0,0
1949,0,0.079,0,0.949,0,0.01,0,0
1950,0,0.095,0,0.952,0,0.009,0,0
1951,0,0.095,0,0.954,0,0.005,0,0
1952,0,0.085,0,0.952,0,0.003,0,0
1953,0,0.075,0,0.947,0,0.007,0,0
1954,0,0.064,0,0.939,0,0.009,0,0.001
1955,0,0.069,0,0.925,0,0.011,0,0.003
1956,0.02604,0.043,0.00627,0.918,0,0.012,0,0.005
1957,0.18261,0.015,0.05916,0.91,0.02455,0.009,0.01186,0.006
1958,0.38637,0.013,0.13545,0.895,0.16871,0.007,0.03563,0.006
1959,0.56961,0.014,0.19973,0.845,0.32361,0.008,0.05169,0.015
1960,0.69908,0.013,0.25674,0.771,0.47621,0.005,0.04741,0.032
1961,0.77323,0.013,0.29468,0.641,0.62602,0.005,0.06633,0.043
1962,0.79772,0.014,0.22512,0.512,0.68977,0.007,0.07005,0.048
1963,0.73,0.017,0.19772,0.38,0.67814,0.011,0.07506,0.051
1964,0.6038,0.01,0.12817,0.283,0.60573,0.017,0.05773,0.048
1965,0.41987,0.029,0.10738,0.247,0.49261,0.013,0.0715,0.044
1966,0.20079,0.093,0.05509,0.231,0.35628,0.011,0.05174,0.037
1967,0.01987,0.183,0,0.229,0.17603,0.012,0.02192,0.032
1968,0,0.231,0,0.217,0.01356,0.02,0.00073,0.04
1969,0,0.228,0,0.191,0,0.027,0,0.045
1970,0,0.229,0,0.156,0,0.022,0,0.056
1971,0,0.233,0,0.153,0,0.017,0,0.069
1972,0,0.236,0,0.146,0,0.015,0,0.081
1973,0,0.22,0,0.114,0,0.016,0,0.094
1974,0,0.209,0,0.079,0,0.017,0,0.116
1975,0,0.244,0,0.036,0,0.021,0,0.15
1976,0,0.277,0,0.015,0,0.02,0,0.204
1977,0,0.306,0,0.002,0,0.018,0,0.305
1978,0,0.269,0,0,0,0.014,0,0.407
1979,0,0.236,0,0,0,0.01,0,0.486
1980,0.01812,0.218,0.01148,0,0,0.006,0,0.558
1981,0.12852,0.252,0.05772,0,0.03476,0.001,0.02177,0.602
1982,0.31372,0.263,0.13642,0,0.2312,0,0.0498,0.592
1983,0.28351,0.251,0.18959,0,0.4423,0,0.05728,0.58
1984,0.26723,0.229,0.23496,0.005,0.61034,0,0.04691,0.559
1985,0.26777,0.226,0.27621,0.035,0.74523,0,0.03921,0.562
1986,0.26335,0.21,0.25813,0.068,0.81208,0.002,0.04277,0.581
1987,0.23409,0.188,0.33422,0.103,0.79715,0.013,0.08395,0.609
1988,0.22865,0.16,0.28857,0.1,0.72538,0.026,0.13971,0.625
1989,0.17752,0.125,0.20121,0.101,0.61152,0.033,0.08958,0.621
1990,0.10264,0.07,0.09638,0.081,0.45188,0.022,0.0755,0.528
1991,0.01411,0.054,0.00343,0.085,0.23095,0.003,0.04077,0.449
1992,0,0.03,0,0.131,0.01457,0.001,0.0029,0.418
1993,0,0.012,0,0.18,0,0.002,0,0.389
1994,0,0.004,0,0.232,0,0.004,0,0.355
1995,0,0.001,0,0.315,0,0.003,0,0.335
1996,0,0.001,0,0.417,0,0.001,0,0.326
1997,0,0.001,0,0.501,0,0.001,0,0.335
1998,0,0,0,0.534,0,0.001,0,0.36
1999,0,0,0,0.567,0,0.002,0,0.401
2000,0,0,0,0.565,0,0.004,0,0.419
2001,0,0.004,0,0.539,0,0.002,0,0.398
2002,0,0.01,0,0.476,0,0,0,0.374
2003,0,0.012,0,0.393,0,0,0,0.35
2004,0.02012,0.011,0.0252,0.298,0,0,0,0.313
2005,0.09875,0.012,0.17033,0.182,0.04671,0,0.01431,0.287
2006,0.21384,0.018,0.31711,0.101,0.27309,0,0.0281,0.252
2007,0.33477,0.024,0.42035,0.09,0.49645,0,0.03247,0.243
2008,0.36913,0.015,0.48332,0.085,0.67019,0,0.02831,0.239
2009,0.42591,0.004,0.50888,0.083,0.77946,0,0.04107,0.229
2010,0.38296,0,0.46153,0.088,0.84002,0.001,0.04939,0.206
2011,0.34366,0.001,0.49323,0.085,0.83525,0.001,0.04134,0.18
2012,0.18965,0.003,0.35451,0.056,0.76729,0.001,0.04256,0.151
2013,0.1478,0.006,0.16581,0.03,0.64244,0.002,0.03958,0.137
2014,0.11429,0.043,0.06604,0.019,0.46319,0.008,0.04789,0.114
2015,0.01777,0.073,0.00169,0.017,0.23158,0.011,0.0507,0.096
2016,0,0.106,0,0.03,0.015,0.022,0.00483,0.103
2017,0,0.148,0,0.046,0,0.03,0,0.102
2018,0,0.164,0,0.064,0,0.032,0,0.089
2019,0,0.18,0,0.107,0,0.028,0,0.064
2020,0,0.184,0,0.126,0,0.024,0,0.04
2021,0,0.17,0,0.139,0,0.02,0,0.025
2022,0,0.161,0,0.14,0,0.017,0,0.014
2023,0,0.159,0,0.142,0,0.015,0,0.006
2024,0,0.161,0,0.136,0,0.016,0,0.002
2025,0,0.109,0,0.146,0,0.016,0,0
2026,0,0.172,0,0.183,0,0.017,0,0
2027,0,0.162,0,0.207,0,0.02,0,0
2028,0.02966,0.158,0.02655,0.209,0,0.025,0,0
2029,0.15127,0.163,0.13861,0.217,0.05045,0.021,0.01453,0
2030,0.32698,0.151,0.24218,0.219,0.28249,0.011,0.05046,0
2031,0.45185,0.177,0.33485,0.233,0.50945,0.045,0.09714,0
2032,0.47661,0.216,0.4104,0.26,0.68978,0.082,0.07072,0
2033,0.48185,0.267,0.43982,0.301,0.80995,0.139,0.10841,0
2034,0.41313,0.314,0.36092,0.358,0.8716,0.208,0.09105,0
2035,0.32116,0.337,0.2386,0.374,0.86137,0.304,0.09463,0
2036,0.29204,0.355,0.1478,0.319,0.77292,0.412,0.09139,0
2037,0.19623,0.329,0.07359,0.282,0.64374,0.423,0.06226,0
2038,0.11539,0.262,0.03234,0.309,0.44259,0.338,0.05214,0
2039,0.01922,0.27,0.00192,0.367,0.21435,0.221,0.01634,0.002
2040,0,0.288,0,0.42,0.01477,0.235,0.00104,0.003
2041,0,0.256,0,0.455,0,0.248,0,0.002
2042,0,0.16,0,0.463,0,0.23,0,0
2043,0,0.149,0,0.494,0,0.217,0,0
2044,0,0.114,0,0.502,0,0.211,0,0
2045,0,0.127,0,0.49,0,0.168,0,0
2046,0,0.19,0,0.485,0,0.131,0,0.001
2047,0,0.21,0,0.516,0,0.111,0,0.003
2048,0,0.214,0,0.556,0,0.135,0,0.004
2049,0,0.181,0,0.561,0,0.161,0,0.009
2050,0,0.14,0,0.547,0,0.179,0,0.013
2051,0,0.097,0,0.517,0,0.194,0,0.017
2052,0.01565,0.046,0.01769,0.483,0,0.218,0,0.019
2053,0.05165,0.05,0.10922,0.446,0.04491,0.254,0.01249,0.022
2054,0.09007,0.045,0.24217,0.408,0.25475,0.402,0.04708,0.026
2055,0.12323,0.115,0.36697,0.412,0.47891,0.477,0.07287,0.03
2056,0.09784,0.284,0.45421,0.478,0.64877,0.565,0.05886,0.034
2057,0.09849,0.388,0.47277,0.546,0.79782,0.662,0.07318,0.042
2058,0.07014,0.416,0.41192,0.577,0.86923,0.732,0.09211,0.049
2059,0.05757,0.383,0.40866,0.585,0.8728,0.747,0.10244,0.054
2060,0.04651,0.267,0.27831,0.588,0.79975,0.749,0.0883,0.063
2061,0.0394,0.157,0.17313,0.596,0.66865,0.732,0.08157,0.076
2062,0.16967,0.062,0.07055,0.632,0.47738,0.706,0.054,0.092
2063,0.02131,0.058,0.00537,0.714,0.23458,0.586,0.06304,0.113
2064,0,0.08,0,0.776,0.0156,0.466,0.00453,0.141
2065,0,0.09,0,0.818,0,0.465,0,0.178
2066,0,0.136,0,0.851,0,0.469,0,0.204
2067,0,0.165,0,0.88,0,0.47,0,0.224
2068,0,0.193,0,0.876,0,0.49,0,0.237
2069,0,0.196,0,0.859,0,0.486,0,0.228
2070,0,0.213,0,0.85,0,0.506,0,0.219
2071,0,0.232,0,0.865,0,0.495,0,0.2
2072,0,0.253,0,0.873,0,0.47,0,0.16
