Time step,ITH5PV,ITH5WT,NO03PV,NO03WT,ES42PV,ES42WT,UKC1PV,UKC1WT
109,0,0.284,0,0.057,0,0.175,0,0.265
110,0.12286,0.247,0,0.088,0.0323,0.164,0,0.29
111,0.20368,0.271,0.00558,0.191,0.19817,0.123,0,0.311
112,0.22271,0.264,0.02759,0.331,0.29327,0.142,0.01616,0.334
113,0.26047,0.235,0.08253,0.462,0.4374,0.24,0.05021,0.363
114,0.29197,0.232,0.11199,0.549,0.47218,0.36,0.12415,0.385
115,0.31385,0.223,0.09017,0.59,0.42628,0.46,0.03239,0.399
116,0.27445,0.176,0.0215,0.662,0.33444,0.533,0.01982,0.406
117,0.16679,0.177,0,0.682,0.23504,0.521,0.00651,0.414
118,0,0.235,0,0.714,0.10911,0.543,0,0.476
119,0,0.252,0,0.674,0,0.603,0,0.539
120,0,0.239,0,0.604,0,0.593,0,0.566
121,0,0.205,0,0.541,0,0.57,0,0.587
122,0,0.17,0,0.511,0,0.529,0,0.617
123,0,0.133,0,0.529,0,0.5,0,0.658
124,0,0.119,0,0.547,0,0.493,0,0.702
125,0,0.112,0,0.51,0,0.521,0,0.725
126,0,0.11,0,0.459,0,0.538,0,0.708
127,0,0.108,0,0.436,0,0.507,0,0.643
128,0,0.104,0,0.402,0,0.494,0,0.611
129,0,0.086,0,0.306,0,0.478,0,0.572
130,0,0.066,0,0.214,0,0.487,0,0.629
131,0,0.054,0,0.131,0,0.478,0,0.654
132,0,0.024,0,0.093,0,0.448,0,0.678
133,0,0.025,0,0.088,0,0.413,0,0.706
134,0.17095,0.012,0,0.134,0.05499,0.333,0,0.732
135,0.33561,0.025,0.03754,0.277,0.29788,0.299,0,0.745
136,0.43717,0.03,0.06846,0.507,0.49989,0.419,0.01201,0.631
137,0.51491,0.031,0.07316,0.762,0.6342,0.534,0.01119,0.608
138,0.52308,0.025,0.09575,0.924,0.65533,0.649,0.02617,0.591
139,0.47211,0.02,0.06604,0.996,0.55256,0.739,0.08666,0.593
140,0.36939,0.011,0.0209,1,0.45836,0.807,0.03072,0.599
141,0.20118,0.02,0,1,0.40526,0.826,0.04388,0.689
142,0,0.025,0,1,0.2909,0.83,0,0.8
143,0,0.02,0,1,0,0.879,0,0.885
144,0,0.018,0,1,0,0.899,0,0.939
145,0,0.008,0,1,0,0.894,0,0.957
146,0,0.005,0,1,0,0.878,0,0.963
147,0,0.003,0,1,0,0.79,0,0.943
148,0,0.001,0,1,0,0.707,0,0.905
149,0,0,0,1,0,0.64,0,0.854
150,0,0,0,1,0,0.59,0,0.715
151,0,0,0,1,0,0.549,0,0.593
152,0,0.001,0,1,0,0.513,0,0.532
153,0,0.008,0,1,0,0.507,0,0.483
154,0,0.015,0,1,0,0.492,0,0.443
155,0,0.025,0,1,0,0.459,0,0.415
156,0,0.036,0,1,0,0.415,0,0.463
157,0,0.05,0,1,0,0.36,0,0.564
158,0.0744,0.054,0,1.001,0.0294,0.281,0,0.655
159,0.16661,0.051,0.04723,1.001,0.24989,0.263,0,0.706
160,0.21341,0.056,0.15505,0.999,0.47015,0.314,0.00406,0.726
161,0.24482,0.064,0.21071,0.995,0.66135,0.319,0.00897,0.704
162,0.22613,0.072,0.18854,0.991,0.74052,0.347,0.04212,0.659
163,0.16227,0.076,0.09286,0.985,0.73974,0.376,0.0395,0.628
164,0.08401,0.056,0.01861,0.978,0.67291,0.389,0.01429,0.599
165,0.04083,0.065,0,0.97,0.53573,0.359,0.00413,0.58
166,0,0.084,0,0.954,0.34965,0.28,0,0.57
167,0,0.082,0,0.932,0,0.292,0,0.561
168,0,0.069,0,0.91,0,0.285,0,0.561
169,0,0.062,0,0.905,0,0.262,0,0.58
170,0,0.058,0,0.909,0,0.23,0,0.591
171,0,0.044,0,0.9,0,0.224,0,0.574
172,0,0.046,0,0.873,0,0.236,0,0.543
173,0,0.055,0,0.834,0,0.255,0,0.495
174,0,0.067,0,0.783,0,0.271,0,0.456
175,0,0.077,0,0.722,0,0.309,0,0.424
176,0,0.091,0,0.653,0,0.359,0,0.404
177,0,0.094,0,0.589,0,0.381,0,0.407
178,0,0.096,0,0.534,0,0.38,0,0.44
179,0,0.145,0,0.531,0,0.366,0,0.511
180,0,0.157,0,0.517,0,0.35,0,0.569
181,0,0.164,0,0.502,0,0.334,0,0.675
182,0.05016,0.16,0,0.485,0.02616,0.282,0,0.754
183,0.08676,0.144,0.05478,0.492,0.27431,0.217,0,0.807
184,0.09178,0.133,0.14941,0.428,0.45793,0.237,0.00519,0.832
185,0.14247,0.123,0.20704,0.373,0.61262,0.286,0.00838,0.845
186,0.17745,0.107,0.18725,0.335,0.68643,0.295,0.00673,0.872
187,0.20465,0.101,0.0875,0.287,0.65587,0.283,0.05322,0.912
188,0.20147,0.108,0.01713,0.272,0.57818,0.254,0.00936,0.951
189,0.13156,0.134,0,0.262,0.47807,0.183,0.04432,0.978
190,0,0.146,0,0.227,0.33929,0.116,0,0.99
191,0,0.145,0,0.171,0,0.11,0,0.997
192,0,0.141,0,0.126,0,0.103,0,1.002
193,0,0.134,0,0.105,0,0.101,0,1.005
194,0,0.119,0,0.085,0,0.096,0,1.005
195,0,0.117,0,0.07,0,0.076,0,1.005
196,0,0.113,0,0.059,0,0.066,0,1.005
197,0,0.119,0,0.044,0,0.063,0,1.005
198,0,0.131,0,0.041,0,0.064,0,1.005
199,0,0.144,0,0.034,0,0.069,0,1.005
200,0,0.148,0,0.031,0,0.081,0,1.006
201,0,0.146,0,0.028,0,0.058,0,1.005
202,0,0.143,0,0.025,0,0.037,0,1.005
203,0,0.134,0,0.023,0,0.019,0,1.005
204,0,0.132,0,0.02,0,0.009,0,1.007
205,0,0.133,0,0.011,0,0.004,0,1.001
206,0.02627,0.121,0,0.007,0.03554,0.001,0,0.985
207,0.2055,0.111,0.04273,0.008,0.31986,0,0.00379,0.901
208,0.03256,0.105,0.11066,0.008,0.53335,0,0.11079,0.81
209,0.03839,0.094,0.10191,0.01,0.66235,0.001,0.02797,0.765
210,0.0384,0.083,0.10262,0.027,0.72188,0.003,0.03708,0.753
211,0.03377,0.066,0.05765,0.066,0.71926,0.005,0.09223,0.733
212,0.03286,0.049,0.01504,0.153,0.65442,0.004,0.227,0.672
213,0.02531,0.046,0,0.224,0.52869,0.002,0.12173,0.65
214,0,0.038,0,0.28,0.35349,0.001,0,0.643
215,0,0.03,0,0.329,0,0.002,0,0.624
216,0,0.025,0,0.347,0,0.003,0,0.588
217,0,0.022,0,0.352,0,0.006,0,0.54
218,0,0.021,0,0.379,0,0.009,0,0.475
219,0,0.019,0,0.452,0,0.009,0,0.434
220,0,0.017,0,0.532,0,0.01,0,0.403
221,0,0.014,0,0.584,0,0.013,0,0.358
222,0,0.029,0,0.62,0,0.019,0,0.317
223,0,0.025,0,0.651,0,0.025,0,0.312
224,0,0.015,0,0.643,0,0.034,0,0.342
225,0,0.017,0,0.581,0,0.051,0,0.393
226,0,0.021,0,0.484,0,0.066,0,0.434
227,0,0.023,0,0.404,0,0.065,0,0.442
228,0,0.023,0,0.333,0,0.053,0,0.475
229,0,0.022,0,0.306,0,0.039,0,0.517
230,0.07073,0.011,0,0.299,0.03284,0.028,0,0.598
231,0.10934,0.004,0.08797,0.309,0.2988,0.01,0.00276,0.775
232,0.10506,0.006,0.02792,0.329,0.51305,0.002,0.02858,0.898
233,0.15541,0.006,0.06398,0.361,0.64126,0.006,0.10823,0.97
234,0.1829,0.002,0.08291,0.386,0.70016,0.006,0.03353,1
235,0.18577,0.001,0.0572,0.342,0.70118,0.004,0.02019,1.003
236,0.1635,0.001,0.01193,0.287,0.63498,0.001,0.02065,1.002
237,0.11777,0.018,0,0.257,0.49997,0,0.00911,1.002
238,0,0.057,0,0.244,0.30283,0.001,0,1
239,0,0.075,0,0.248,0,0,0,1.001
240,0,0.07,0,0.262,0,0,0,1.004
241,0,0.053,0,0.293,0,0,0,1.004
242,0,0.026,0,0.334,0,0,0,0.998
243,0,0.004,0,0.339,0,0,0,1
244,0,0.001,0,0.345,0,0.004,0,0.993
245,0,0,0,0.356,0,0.016,0,0.984
246,0,0.001,0,0.359,0,0.029,0,0.96
247,0,0.002,0,0.339,0,0.042,0,0.91
248,0,0.004,0,0.316,0,0.052,0,0.836
249,0,0.004,0,0.379,0,0.052,0,0.77
250,0,0.002,0,0.483,0,0.047,0,0.703
251,0,0.007,0,0.615,0,0.043,0,0.65
252,0,0.004,0,0.742,0,0.042,0,0.623
253,0,0.002,0,0.832,0,0.046,0,0.584
254,0.22086,0,0,0.899,0.02519,0.049,0,0.511
255,0.44938,0,0.004,0.943,0.26223,0.036,0.00395,0.48
256,0.59743,0,0.02114,0.971,0.44083,0.051,0.04171,0.441
257,0.66921,0,0.0372,0.981,0.58825,0.123,0.07707,0.439
258,0.67563,0,0.04715,0.975,0.68677,0.183,0.03522,0.455
259,0.61643,0,0.01705,0.979,0.70516,0.221,0.15359,0.492
260,0.47421,0,0.00944,0.973,0.64055,0.235,0.312,0.544
261,0.24368,0,0,0.984,0.50433,0.185,0.20439,0.64
262,0,0.001,0,0.983,0.31684,0.16,0,0.734
263,0,0.004,0,0.97,0.00046,0.175,0,0.784
