year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
c_PV_OPT,447481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_PV_AVG,700979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_PV_PES,1739582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_OPT,887490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_AVG,1148312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_WT_PES,1854200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_E_OPT,0,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703,63.21112703
p_E_AVG,0,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391,130.0387391
p_E_PES,0,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449,275.9216449
