,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,c_WT_AVG,1064606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1719039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729,8.763087729
,p_E_AVG,0,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401,30.60830401
,p_E_PES,0,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646,126.0827646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,c_PV_OPT,343032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,537359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1333537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,680336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,880278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1421401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819,59.20786819
,p_E_AVG,0,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203,84.00549203
,p_E_PES,0,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104,121.5583104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,c_PV_OPT,430374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,674181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1673080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,853562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,1104413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1783316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483,82.08701483
,p_E_AVG,0,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393,234.7338393
,p_E_PES,0,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442,697.1497442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,c_PV_OPT,361375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,566094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1404845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,716716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,927350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1497408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439,30.90492439
,p_E_AVG,0,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665,56.85777665
,p_E_PES,0,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134,108.3459134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL,c_PV_OPT,507335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,794740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1972265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,1006199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,1301908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,2102215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878,41.47792878
,p_E_AVG,0,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755,62.8437755
,p_E_PES,0,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227,95.387227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
